scene,listener,sii
S06156,L0083,0.3762764524369636
S06157,L0008,0.26963334270124906
S06157,L0011,0.30994991632663127
S06157,L0038,0.3218203314966795
S06158,L0022,0.48962051054829514
S06158,L0008,0.4056734303105544
S06158,L0051,0.46856013296432486
S06159,L0002,0.2603710243248045
S06159,L0072,0.18724549597434803
S06159,L0056,0.27238324296907784
S06160,L0027,0.3448382942996962
S06160,L0026,0.3572114894380397
S06160,L0073,0.29093445526085626
S06161,L0062,0.4103179599202731
S06161,L0081,0.2700487849130321
S06161,L0063,0.41442101411405746
S06162,L0084,0.36697830740577314
S06162,L0081,0.405465168235483
S06162,L0005,0.4101385158404474
S06163,L0091,0.4482767353873487
S06163,L0014,0.2516819112976974
S06163,L0083,0.40469155205410406
S06164,L0094,0.4214160756152645
S06164,L0012,0.472272744707238
S06164,L0069,0.5628093569428386
S06165,L0035,0.45797116171472485
S06165,L0049,0.3751511061046008
S06165,L0085,0.27150680153529455
S06166,L0094,0.49449703483256396
S06166,L0068,0.36205952501152217
S06166,L0077,0.4406839234687111
S06167,L0064,0.5048798176349799
S06167,L0095,0.4354158624441228
S06167,L0093,0.47896598259966466
S06168,L0039,0.32883819759571126
S06168,L0003,0.4097990833674692
S06168,L0001,0.3961566220890816
S06169,L0031,0.3649789431517768
S06169,L0051,0.38357007655422276
S06169,L0081,0.38192629567109065
S06170,L0090,0.6312186130093043
S06170,L0042,0.4941575767299169
S06170,L0056,0.5939166424980582
S06171,L0011,0.429684275769889
S06171,L0080,0.5704518736958695
S06171,L0044,0.3334913608250278
S06172,L0051,0.364806647051702
S06172,L0067,0.3636205943502461
S06172,L0064,0.3580606538547198
S06173,L0064,0.564205291247702
S06173,L0010,0.30751065222051666
S06173,L0027,0.34606525835498697
S06174,L0100,0.47447060408762415
S06174,L0022,0.5013013298445197
S06174,L0040,0.4028119428137973
S06175,L0048,0.14520501245180312
S06175,L0056,0.39718735400924204
S06175,L0010,0.1091021858819927
S06176,L0005,0.47048673538771996
S06176,L0077,0.5035083215414087
S06176,L0068,0.46698468865678544
S06177,L0024,0.3354752199875484
S06177,L0078,0.3064538708193065
S06177,L0095,0.319290681499846
S06178,L0013,0.408163101911741
S06178,L0026,0.4270467202472067
S06178,L0059,0.4673817459628188
S06179,L0067,0.2268169012127024
S06179,L0005,0.4086770954178741
S06179,L0096,0.2828671294326011
S06180,L0074,0.4593135444364696
S06180,L0064,0.3155968368256194
S06180,L0073,0.40118864151390293
S06181,L0009,0.43218366017111953
S06181,L0015,0.40316599444491397
S06181,L0076,0.4145179829246293
S06182,L0026,0.3199353561877687
S06182,L0003,0.43233645136772764
S06182,L0005,0.43333490353753873
S06183,L0094,0.6888664956453038
S06183,L0097,0.5350791554977475
S06183,L0022,0.5945414012404344
S06184,L0098,0.5496361356270666
S06184,L0055,0.5320134582981327
S06184,L0017,0.416733371876637
S06185,L0088,0.5589762526687703
S06185,L0058,0.5744068396403036
S06185,L0032,0.5170654842544851
