scene,listener,haspi
S06131,L0064,0.03628413165467981
S06131,L0002,0.01137975736097887
S06132,L0015,0.8964787424554326
S06132,L0065,0.9594908121846969
S06132,L0089,0.8929540432915797
S06133,L0083,0.48084779341149936
S06133,L0049,0.4466777392892245
S06133,L0072,0.41159550206917433
S06134,L0078,0.14995649514064222
S06134,L0092,0.038582393020158375
S06134,L0036,0.08582104668018713
S06135,L0069,0.8277696177556783
S06135,L0013,0.8895578196691448
S06135,L0062,0.7012477491896804
S06136,L0038,0.04057296424124093
S06136,L0044,0.0304176440096803
S06136,L0092,0.07389157657219914
S06137,L0028,0.7032988435670515
S06137,L0070,0.6957959558484592
S06137,L0032,0.7014330160718754
S06138,L0059,0.013379927208657728
S06138,L0019,0.009933421907259729
S06138,L0011,0.018428847459621783
S06139,L0004,0.06868307576110728
S06139,L0084,0.06529131530536818
S06139,L0072,0.02412587809736678
S06140,L0034,0.03284899377965696
S06140,L0021,0.03757992415048512
S06140,L0080,0.023655522138309654
S06141,L0065,0.1026427936068868
S06141,L0042,0.05331355281762096
S06141,L0035,0.07879224296667568
S06142,L0100,0.31117846995978826
S06142,L0008,0.41705233179669504
S06142,L0036,0.31264971898000293
S06143,L0097,0.24283662685516835
S06143,L0024,0.0959469222550788
S06143,L0017,0.2604433279534774
S06144,L0034,0.049253194019016955
S06144,L0073,0.05425376991339183
S06144,L0063,0.017608954567353074
S06145,L0061,0.4941058439751911
S06145,L0086,0.4243954887347213
S06145,L0026,0.3702398148543479
S06146,L0017,0.4071996040429033
S06146,L0094,0.4510041902228133
S06146,L0078,0.5327637608843008
S06147,L0024,0.7990653565173014
S06147,L0090,0.6949815635064881
S06147,L0066,0.8143339925610542
S06148,L0099,0.007374704293568048
S06148,L0069,0.009021790088165211
S06148,L0083,0.008838693453689019
S06149,L0080,0.0809896537771113
S06149,L0055,0.041227969239415026
S06149,L0099,0.06030325964211124
S06150,L0034,0.004871735414049097
S06150,L0086,0.004266156073609715
S06150,L0096,0.004678413846176736
S06151,L0038,0.10837809463487035
S06151,L0002,0.01766225243820511
S06151,L0057,0.024316336516294362
S06152,L0054,0.1506615901333292
S06152,L0055,0.22376506977247293
S06152,L0005,0.09703044961816937
S06153,L0084,0.27947541505806356
S06153,L0024,0.16311848672872872
S06153,L0042,0.25143736300153063
S06154,L0095,0.3027480693926603
S06154,L0026,0.2288744683106952
S06154,L0063,0.3613888980700896
S06155,L0092,0.6687179733026289
S06155,L0049,0.5132170277320975
S06155,L0076,0.8132754787754075
S06156,L0011,0.04942161409094597
S06156,L0013,0.02706526692649165
S06156,L0083,0.03521338337753556
S06157,L0008,0.32262221008129865
S06157,L0011,0.3756822918202002
S06157,L0038,0.2433846136419999
S06158,L0022,0.044298100015405024
S06158,L0008,0.15873510216144146
S06158,L0051,0.11041146879978014
S06159,L0002,0.02537882253660294
S06159,L0072,0.02587916725154002
S06159,L0056,0.014692913337282487
S06160,L0027,0.4166865556126298
S06160,L0026,0.5108374473772151
S06160,L0073,0.32805202538479533
S06161,L0062,0.04697315162092674
S06161,L0081,0.03250266812165899
S06161,L0063,0.1168834329398485
S06162,L0084,0.32908168908227814
S06162,L0081,0.1139975439391411
S06162,L0005,0.17842523969442528
S06163,L0091,0.01961286112290143
S06163,L0014,0.02972112829610339
S06163,L0083,0.020338188713261547
S06164,L0094,0.18022678215472404
S06164,L0012,0.2028922107020514
S06164,L0069,0.12892793346972686
S06165,L0035,0.20193832359877287
S06165,L0049,0.2217748187689829
S06165,L0085,0.2114133884677602
S06166,L0094,0.06352560773139133
S06166,L0068,0.05960546723705219
S06166,L0077,0.08805115606001686
S06167,L0064,0.4074139457420814
S06167,L0095,0.2047938571946805
S06167,L0093,0.45225210410117134
S06168,L0039,0.013493330476892898
S06168,L0003,0.012048553279786376
S06168,L0001,0.01989991980502953
S06169,L0031,0.12447835319516776
S06169,L0051,0.06109593823251886
S06169,L0081,0.07390937582934032
S06170,L0090,0.1040660047024502
S06170,L0042,0.15643840245880977
S06170,L0056,0.08757527815970433
S06171,L0011,0.040233384090285026
S06171,L0080,0.058470173149898934
S06171,L0044,0.05023003564902937
S06172,L0051,0.3454421572433036
S06172,L0067,0.38014125255040543
S06172,L0064,0.31473920002640016
S06173,L0064,0.10670593965862557
S06173,L0010,0.016334457648612577
S06173,L0027,0.2505720550953017
S06174,L0100,0.19232863915732873
S06174,L0022,0.2943116020542691
S06174,L0040,0.2759526946128119
S06175,L0048,0.39444539627587455
S06175,L0056,0.14239321106683847
S06175,L0010,0.029362931632387027
S06176,L0005,0.09076854774195744
S06176,L0077,0.29271466347260106
S06176,L0068,0.26520723939485974
S06177,L0024,0.009333298622276389
S06177,L0078,0.009377391263442161
S06177,L0095,0.010174386815443736
S06178,L0013,0.5632962147390671
S06178,L0026,0.5961494675055364
S06178,L0059,0.5302942164237017
S06179,L0067,0.33578422699192184
S06179,L0005,0.4211043340468105
S06179,L0096,0.4616118859846215
S06180,L0074,0.2557632412874552
S06180,L0064,0.11332163666395459
S06180,L0073,0.08996278277693787
S06181,L0009,0.031495866137595314
S06181,L0015,0.034427881819766415
S06181,L0076,0.045717655877630506
S06182,L0026,0.45487370904143304
S06182,L0003,0.4095857086499558
S06182,L0005,0.5554626398036058
S06183,L0094,0.05219628804275701
S06183,L0097,0.06284240032225882
S06183,L0022,0.052622322462037054
S06184,L0098,0.014058903275908027
S06184,L0055,0.013956782676947017
S06184,L0017,0.010950109023332879
S06185,L0088,0.4717467719451119
S06185,L0058,0.12207454384224202
S06185,L0032,0.32776498054641257
S06186,L0064,0.15024879987452144
S06186,L0078,0.24346949112376026
S06186,L0019,0.21091133456044178
S06187,L0010,0.12134245088681438
S06187,L0096,0.33660981268667023
S06187,L0074,0.5250917583755544
S06188,L0096,0.008809733381131751
S06188,L0098,0.007460488924155687
S06188,L0057,0.00970497394943672
S06189,L0021,0.25528699960813084
S06189,L0097,0.18726604938799335
S06189,L0049,0.29357728818513845
S06190,L0022,0.6325690249602267
S06190,L0064,0.6402767740462986
S06190,L0049,0.5832267913784993
S06191,L0021,0.5542989607497387
S06191,L0083,0.8069427390256093
S06191,L0032,0.5461546956507157
S06192,L0005,0.027387409320675744
S06192,L0065,0.027250467754733346
S06192,L0071,0.13957389917028235
S06193,L0062,0.3450006807766345
S06193,L0032,0.45320001125577747
S06193,L0073,0.537065148317697
S06194,L0059,0.6594317409722027
S06194,L0098,0.427073311279517
S06194,L0012,0.370427498345148
S06195,L0008,0.7211644978935436
S06195,L0078,0.5018595949041601
S06195,L0042,0.8379951670732193
S06196,L0004,0.3717475262293507
S06196,L0083,0.308947645017044
S06196,L0090,0.3491285655341574
S06197,L0091,0.6561549157583324
S06197,L0036,0.2559931835901448
S06197,L0039,0.43912511411522603
S06198,L0014,0.3293359528252238
S06198,L0098,0.3066893711398127
S06198,L0081,0.37740439212250604
S06199,L0084,0.3920158166883869
S06199,L0068,0.40059725413412534
S06199,L0081,0.289911022908371
S06200,L0053,0.005472166851011295
S06200,L0019,0.005249240624399676
S06200,L0024,0.004977398783516861
S06201,L0069,0.6193408015205781
S06201,L0090,0.593401544616066
S06201,L0013,0.6113064687815929
S06202,L0017,0.05697826314916215
S06202,L0068,0.058020130648089405
S06202,L0011,0.0599623521606882
S06203,L0015,0.3236608077648377
S06203,L0068,0.3263550249726259
S06203,L0026,0.21208776295519058
S06204,L0004,0.03955472520234069
S06204,L0072,0.039405256179871416
S06204,L0070,0.040107853527508744
S06205,L0068,0.013435611107933
S06205,L0004,0.020394377302350455
S06205,L0080,0.015776725757818678
S06206,L0055,0.5176934860384615
S06206,L0042,0.5710379675792412
S06206,L0013,0.5016294211702107
S06207,L0059,0.03411848833208464
